boot,corpus,point,sha,run,ms,rc,proved,failed,trivial
1787523475,mono,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,2,1057384,0,950,35,1902
1787523475,mono,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,1093402,0,950,35,1902
1787523475,mono,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,2,1103621,0,950,35,1902
1787523475,mono,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,1065241,0,950,35,1902
1787523475,mono,p04,64f03fce29369b2878614fb136c38ae2fac4265c,2,1097481,0,950,35,1902
1787523475,mono,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,1082375,0,950,35,1902
1787523475,mono,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,2,1093718,0,950,35,1902
1787523475,mono,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,1014613,0,950,35,1902
1787523475,mono,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,2,1006943,0,950,35,1902
1787523475,mono,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,88146,0,950,35,1902
1787523475,mono,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,2,87202,0,950,35,1902
1787523475,mono,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,1,86660,0,950,35,1902
1787523475,mono,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,2,87362,0,950,35,1902
1787523475,mono,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,1,85658,0,950,35,1902
1787523475,mono,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,2,86155,0,950,35,1902
1787523475,mono,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,1,94549,0,950,35,1902
1787523475,mono,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,2,95459,0,950,35,1902
1787523475,mono,p11,406e50d90eb704f98322f2a2ab6de211d988c676,1,91211,0,950,35,1902
1787523475,mono,p11,406e50d90eb704f98322f2a2ab6de211d988c676,2,86108,0,950,35,1902
1787523475,mono,p12,26e4ff38647c6336f69f1df0772b495105d76abd,1,46531,0,950,35,1902
1787523475,mono,p12,26e4ff38647c6336f69f1df0772b495105d76abd,2,47563,0,950,35,1902
1787523475,mono,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,1,39752,0,950,35,1902
1787523475,mono,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,2,39057,0,950,35,1902
1787523475,mono,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,1,38661,0,950,35,1902
1787523475,mono,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,2,38311,0,950,35,1902
1787523475,mono,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,1,34018,0,950,35,1902
1787523475,mono,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,2,33422,0,950,35,1902
1787523475,mono,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,1,33903,0,950,35,1902
1787523475,mono,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,2,33293,0,950,35,1902
1787523475,mono,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,1,31599,0,950,35,1902
1787523475,mono,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,2,31885,0,950,35,1902
1787523475,mono,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,1074079,0,950,35,1902
1787523475,mono,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,2,1087253,0,950,35,1902
1787523475,chain,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,900207,124,479,0,1365
1787523475,chain,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,900480,124,485,0,1379
1787523475,chain,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,900101,124,483,0,1376
1787523475,idemo,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,42846,0,922,0,1807
1787523475,idemo,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,2,43859,0,922,0,1807
1787523475,idemo,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,49294,0,922,0,1807
1787523475,idemo,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,2,43376,0,922,0,1807
1787523475,idemo,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,43607,0,922,0,1807
1787523475,idemo,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,2,43233,0,922,0,1807
1787523475,idemo,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,43142,0,922,0,1807
1787523475,idemo,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,2,44407,0,922,0,1807
1787523475,idemo,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,43103,0,922,0,1807
1787523475,idemo,p04,64f03fce29369b2878614fb136c38ae2fac4265c,2,43759,0,922,0,1807
1787523475,idemo,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,43815,0,922,0,1807
1787523475,idemo,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,2,45596,0,922,0,1807
1787523475,idemo,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,42409,0,922,0,1807
1787523475,idemo,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,2,44829,0,922,0,1807
1787523475,idemo,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,9107,0,922,0,1807
1787523475,idemo,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,2,8942,0,922,0,1807
1787523475,idemo,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,1,9421,0,922,0,1807
1787523475,idemo,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,2,8696,0,922,0,1807
1787523475,idemo,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,1,7878,0,922,0,1807
1787523475,idemo,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,2,7959,0,922,0,1807
1787523475,idemo,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,1,8227,0,922,0,1807
1787523475,idemo,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,2,8547,0,922,0,1807
1787523475,idemo,p11,406e50d90eb704f98322f2a2ab6de211d988c676,1,7823,0,922,0,1807
1787523475,idemo,p11,406e50d90eb704f98322f2a2ab6de211d988c676,2,8205,0,922,0,1807
1787523475,idemo,p12,26e4ff38647c6336f69f1df0772b495105d76abd,1,2533,0,922,0,1807
1787523475,idemo,p12,26e4ff38647c6336f69f1df0772b495105d76abd,2,2546,0,922,0,1807
1787523475,idemo,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,1,1478,0,922,0,1807
1787523475,idemo,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,2,1446,0,922,0,1807
1787523475,idemo,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,1,1367,0,922,0,1807
1787523475,idemo,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,2,1310,0,922,0,1807
